-0.587564	0.170232	258	50
-0.587564	0.236194	233	53
-0.60137	0.291418	212	55
-0.613642	0.315962	204	53
-0.64739	0.363516	186	48
-0.650458	0.415672	166	51
-0.651992	0.443284	158	54
-0.682672	0.490838	141	53
-0.70108	0.521518	127	52
-0.719488	0.542994	119	50
-0.737896	0.567538	107	48
-0.737896	0.576742	104	50
-0.737896	0.593616	101	51
-0.767042	0.636568	89	53
-0.81613	0.651908	70	45
-0.911238	0.670316	48	28
-0.940384	0.68719	44	27
-0.90817	0.797638	33	56
-0.87749	0.80224	35	62
-0.866752	0.811444	35	64
-0.83147	0.860532	32	80
-0.811528	0.89428	30	90
-0.80846	0.895814	29	93
-0.73176	0.951038	28	113
-0.704148	1.00933	21	130
-0.6704	1.01086	18	122
-0.66273	1.01086	24	135
-0.659662	1.03234	22	140
-0.658128	1.03234	21	140
-0.658128	1.02927	22	139
-0.595234	1.02007	27	143
-0.564554	1.01853	30	147
-0.345192	1.03081	36	177
-0.345192	1.03081	36	178
-0.339056	1.03081	37	178
-0.283832	1.00013	47	184
-0.257754	0.920358	70	175
-0.257754	0.889678	79	181
-0.211734	0.76389	113	185
-0.211734	0.731676	123	183
-0.211734	0.730142	124	183
-0.211734	0.720938	126	183
-0.211734	0.704064	129	181
-0.211734	0.670316	137	180
-0.211734	0.651908	143	180
-0.211734	0.622762	150	180
-0.211734	0.592082	160	179
-0.211734	0.54913	171	179
-0.211734	0.454022	196	178
-0.211734	0.398798	211	177
-0.211734	0.39573	213	177
-0.211734	0.378856	217	177
-0.211734	0.35738	223	177
-0.211734	0.345108	227	177
-0.193326	0.33437	231	181
-0.193326	0.33437	231	181
-0.193326	0.33437	231	181
-0.193326	0.320564	234	181
-0.193326	0.254602	257	184
-0.181054	0.236194	261	185
-0.173384	0.216252	269	191
-0.15651	0.182504	281	196
-0.150374	0.162562	285	196
-0.144238	0.144154	286	196
-0.145772	0.133416	285	195
-0.145772	0.11961	284	193
-0.216336	0.131882	287	179
-0.24088	0.133416	285	168
-0.293036	0.133416	284	149
-0.297638	0.13495	284	148
-0.329852	0.139552	283	138
-0.360532	0.141086	282	128
-0.40962	0.139552	281	111
-0.423426	0.138018	280	104
-0.42496	0.138018	280	103
-0.458708	0.138018	279	93
-0.572224	0.200912	249	54
-0.57836	0.217786	246	55
-0.615176	0.26534	222	47
-0.451038	0.305224	221	106
